Ref,Val,Package,PosX,PosY,Rot,Side
"LED175","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",618.100000,9.600000,90.000000,top
"LED176","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",618.100000,17.600000,90.000000,top
"LED177","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",777.900000,9.700000,90.000000,top
"LED178","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",777.900000,17.700000,90.000000,top
"LED179","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",937.550000,9.775000,90.000000,top
"LED180","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",937.550000,17.775000,90.000000,top
"LED181","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",146.900000,9.600000,90.000000,top
"LED182","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",146.900000,17.600000,90.000000,top
"LED183","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",306.600000,9.600000,90.000000,top
"LED184","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",306.600000,17.600000,90.000000,top
"LED185","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",466.600000,9.650000,90.000000,top
"LED186","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",466.600000,17.600000,90.000000,top
"LED187","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",626.600000,9.600000,90.000000,top
"LED188","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",626.600000,17.600000,90.000000,top
"LED189","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",786.400000,9.700000,90.000000,top
"LED190","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",786.400000,17.700000,90.000000,top
"LED191","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",946.050000,9.775000,90.000000,top
"LED192","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",946.050000,17.775000,90.000000,top
"LED193","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",155.400000,9.600000,90.000000,top
"LED194","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",155.400000,17.600000,90.000000,top
"LED195","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",315.100000,9.600000,90.000000,top
"LED196","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",315.100000,17.600000,90.000000,top
"LED197","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",475.100000,9.650000,90.000000,top
"LED198","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",475.100000,17.600000,90.000000,top
"LED199","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",635.100000,9.600000,90.000000,top
"LED200","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",635.100000,17.600000,90.000000,top
"LED201","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",794.900000,9.700000,90.000000,top
"LED202","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",794.900000,17.700000,90.000000,top
"LED203","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",954.550000,9.775000,90.000000,top
"LED204","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",954.550000,17.775000,90.000000,top
"LEDe","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",187.600000,9.600000,90.000000,top
"R1","5.6R","R_1206_3216Metric",171.150000,11.100000,90.000000,top
"R2","5.6R","R_1206_3216Metric",171.050000,19.100000,90.000000,top
"R3","5.6R","R_1206_3216Metric",330.850000,11.100000,90.000000,top
"R4","5.6R","R_1206_3216Metric",330.750000,19.100000,90.000000,top
"R5","5.6R","R_1206_3216Metric",490.850000,11.112500,90.000000,top
"R6","5.6R","R_1206_3216Metric",490.850000,19.050000,90.000000,top
"R7","5.6R","R_1206_3216Metric",650.750000,11.100000,90.000000,top
"R8","5.6R","R_1206_3216Metric",650.850000,19.062500,90.000000,top
"R9","5.6R","R_1206_3216Metric",810.550000,11.200000,90.000000,top
"R10","5.6R","R_1206_3216Metric",810.650000,19.200000,90.000000,top
"R11","5.6R","R_1206_3216Metric",970.000000,11.275000,90.000000,top
"R12","5.6R","R_1206_3216Metric",970.300000,19.237500,90.000000,top
"U1","NCR321ZX","NCR321ZX",165.150000,9.600000,180.000000,top
"U2","NCR321ZX","NCR321ZX",165.150000,17.600000,180.000000,top
"U3","NCR321ZX","NCR321ZX",324.850000,9.600000,180.000000,top
"U4","NCR321ZX","NCR321ZX",324.850000,17.600000,180.000000,top
"U5","NCR321ZX","NCR321ZX",484.850000,9.650000,180.000000,top
"U6","NCR321ZX","NCR321ZX",484.850000,17.600000,180.000000,top
"U7","NCR321ZX","NCR321ZX",644.850000,9.600000,180.000000,top
"U8","NCR321ZX","NCR321ZX",644.850000,17.600000,180.000000,top
"U9","NCR321ZX","NCR321ZX",804.650000,9.700000,180.000000,top
"U10","NCR321ZX","NCR321ZX",804.650000,17.700000,180.000000,top
"U11","NCR321ZX","NCR321ZX",964.300000,9.775000,180.000000,top
"U12","NCR321ZX","NCR321ZX",964.300000,17.775000,180.000000,top
