Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED110,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,89.75,18,90,top
LED111,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,246.75,9,90,top
LED112,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,246.75,18,90,top
LED113,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,403.75,9,90,top
LED114,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,403.75,18,90,top
LED115,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,560.75,9,90,top
LED116,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,560.75,18,90,top
LED117,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,717.75,9,90,top
LED118,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,717.75,18,90,top
LED119,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,874.75,9,90,top
LED120,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,874.75,18,90,top
LED121,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,98.25,9,90,top
LED122,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,98.25,18,90,top
LED123,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,255.25,9,90,top
LED124,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,255.25,18,90,top
LED125,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,412.25,9,90,top
LED126,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,412.25,18,90,top
LED127,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,569.25,9,90,top
LED128,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,569.25,18,90,top
LED129,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,726.25,9,90,top
LED130,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,726.25,18,90,top
LED131,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,883.25,9,90,top
LED132,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,883.25,18,90,top
LED133,L1SP-DRD0002800000,L1SP-DRD0002800000,106.75,9,180,top
LED134,L1SP-DRD0002800000,L1SP-DRD0002800000,106.75,18,180,top
LED135,L1SP-DRD0002800000,L1SP-DRD0002800000,263.75,9,180,top
LED136,L1SP-DRD0002800000,L1SP-DRD0002800000,263.75,18,180,top
LED137,L1SP-DRD0002800000,L1SP-DRD0002800000,420.75,9,180,top
LED138,L1SP-DRD0002800000,L1SP-DRD0002800000,420.75,18,180,top
LED139,L1SP-DRD0002800000,L1SP-DRD0002800000,577.75,9,180,top
LED140,L1SP-DRD0002800000,L1SP-DRD0002800000,577.75,18,180,top
LED141,L1SP-DRD0002800000,L1SP-DRD0002800000,734.75,9,180,top
LED142,L1SP-DRD0002800000,L1SP-DRD0002800000,734.75,18,180,top
LED143,L1SP-DRD0002800000,L1SP-DRD0002800000,891.75,9,180,top
LED144,L1SP-DRD0002800000,L1SP-DRD0002800000,891.75,18,180,top
LED145,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,115.25,9,90,top
LED146,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,115.25,18,90,top
LED147,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,272.25,9,90,top
LED148,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,272.25,18,90,top
LED149,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,429.25,9,90,top
LED150,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,429.25,18,90,top
LED151,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,586.25,9,90,top
LED152,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,586.25,18,90,top
LED153,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,743.25,9,90,top
LED154,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,743.25,18,90,top
LED155,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,900.25,9,90,top
LED156,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,900.25,18,90,top
LED157,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,123.75,9,90,top
LED158,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,123.75,18,90,top
LED159,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,280.75,9,90,top
LED160,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,280.75,18,90,top
LED161,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,437.75,9,90,top
LED162,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,437.75,18,90,top
LED163,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,594.75,9,90,top
LED164,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,594.75,18,90,top
LED165,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,751.75,9,90,top
LED166,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,751.75,18,90,top
LED167,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,908.75,9,90,top
LED168,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,908.75,18,90,top
LED169,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,132.25,9,90,top
LED170,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,132.25,18,90,top
LED171,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,289.25,9,90,top
LED172,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,289.25,18,90,top
LED173,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,446.25,9,90,top
LED174,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,446.25,18,90,top
LED175,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,603.25,9,90,top
LED176,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,603.25,18,90,top
LED177,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,760.25,9,90,top
LED178,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,760.25,18,90,top
LED179,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,917.25,9,90,top
LED180,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,917.25,18,90,top
LED181,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,140.75,9,90,top
LED182,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,140.75,18,90,top
LED183,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,297.75,9,90,top
LED184,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,297.75,18,90,top
LED185,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,454.75,9,90,top
LED186,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,454.75,18,90,top
LED187,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,611.75,9,90,top
